author,record_count,platforms,primary_categories,tier,website,role,representative_titles,representative_urls,time_slices,x_twitter,linkedin,github,external_verification_status
digitalhabitats.global,2,digitalhabitats.global,tutorial_or_implementation,Tier 3,https://digitalhabitats.global,unknown,Reflexion: an autonomous agent with dynamic memory and self-reflection – Digital Habitats ; Reflexion: an autonomous agent with dynamic memory and self-reflection – Digital Habitats,https://digitalhabitats.global/blogs/digital-thoughts/reflexion-an-autonomous-agent-with-dynamic-memory-and-self-reflection ; https://digitalhabitats.global/blogs/digital-thoughts/reflexion-an-autonomous-agent-with-dynamic-memory-and-self-reflection,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
docs.ag2.ai,2,docs.ag2.ai,evaluation_benchmark,Tier 3,https://docs.ag2.ai,unknown,Intelligent Agent Handoffs: Routing Control in Multi-Agent Systems with AG2 - AG2 ; Intelligent Agent Handoffs: Routing Control in Multi-Agent Systems with AG2 - AG2,https://docs.ag2.ai/latest/docs/blog/2026/03/05/Intelligent-Agent-Handoffs/ ; https://docs.ag2.ai/latest/docs/blog/2026/03/05/Intelligent-Agent-Handoffs/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
eadst.com,2,eadst.com,self_evolving_agent,Tier 3,http://eadst.com,unknown,Self-Evolving AI Agents：自我进化智能体研究全景综述| 东毅居士 ; Self-Evolving AI Agents：自我进化智能体研究全景综述| 东毅居士,http://eadst.com/blog/313 ; http://eadst.com/blog/313,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
emergentmind.com,2,emergentmind.com,self_evolving_agent,Tier 3,https://www.emergentmind.com,unknown,AgentEvolver: Autonomous Self-Evolving Agents ; AgentEvolver: Autonomous Self-Evolving Agents,https://www.emergentmind.com/topics/agentevolver ; https://www.emergentmind.com/topics/agentevolver,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
example.com,2,source_platform_or_domain,agent_evolution_category,Tier 3,https://example.com,unknown,article_or_item_title ; article_or_item_title,https://example.com/article ; https://example.com/article,unknown,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
fanyamin.com,2,fanyamin.com,self_evolving_agent,Tier 3,https://www.fanyamin.com,unknown,Walter Fan's Blog – AI Agent 为什么会越用越懂你？从 OpenClaw 的“养龙虾”聊起 ; Walter Fan's Blog – AI Agent 为什么会越用越懂你？从 OpenClaw 的“养龙虾”聊起,https://www.fanyamin.com/2026-04-01-openclaw-agent-self-evolution.html ; https://www.fanyamin.com/2026-04-01-openclaw-agent-self-evolution.html,2026-04,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
focus.zhuanzhi.ai,2,focus.zhuanzhi.ai,self_evolving_agent,Tier 3,https://focus.zhuanzhi.ai,unknown,大模型如何迭代？北大等《大型语言模型自我进化》综述 - 专知VIP ; 大模型如何迭代？北大等《大型语言模型自我进化》综述 - 专知VIP,https://focus.zhuanzhi.ai/vip/7d2dfc0c0ca19d68a1a1107f39a326d5 ; https://focus.zhuanzhi.ai/vip/7d2dfc0c0ca19d68a1a1107f39a326d5,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
frontend.modal.com,2,frontend.modal.com,tutorial_or_implementation,Tier 3,https://frontend.modal.com,unknown,Open-source AI agents ; Open-source AI agents,https://frontend.modal.com/blog/open-ai-agents ; https://frontend.modal.com/blog/open-ai-agents,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
gair-nlp.github.io,2,gair-nlp.github.io,tutorial_or_implementation,Tier 1,https://gair-nlp.github.io,unknown,[PDF] 大模型智能体与群体智能迎接智能的第二次涌现 ; [PDF] 大模型智能体与群体智能迎接智能的第二次涌现,https://gair-nlp.github.io/cs2916/assets/files/agent_zhiyuan_liu-535b20074c48df4f9b781d2d673b0702.pdf ; https://gair-nlp.github.io/cs2916/assets/files/agent_zhiyuan_liu-535b20074c48df4f9b781d2d673b0702.pdf,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
github.blog,2,github.blog,agent_discussion_resource,Tier 1,https://github.blog,unknown,Improving token efficiency in GitHub Agentic Workflows - The GitHub Blog ; Improving token efficiency in GitHub Agentic Workflows - The GitHub Blog,https://github.blog/ai-and-ml/github-copilot/improving-token-efficiency-in-github-agentic-workflows/ ; https://github.blog/ai-and-ml/github-copilot/improving-token-efficiency-in-github-agentic-workflows/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
github.langchain.ac.cn,2,github.langchain.ac.cn,tutorial_or_implementation,Tier 1,https://github.langchain.ac.cn,unknown,如何在自定义 Agent 中使用记忆工具 - LangChain 教程 ; 如何在自定义 Agent 中使用记忆工具 - LangChain 教程,https://github.langchain.ac.cn/langmem/guides/use_tools_in_custom_agent ; https://github.langchain.ac.cn/langmem/guides/use_tools_in_custom_agent,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
gptbots.ai,2,gptbots.ai,agent_discussion_resource,Tier 3,https://www.gptbots.ai,unknown,【详解】什么是智能体工作流（Agentic Workflow） - GPTBots.ai ; 【详解】什么是智能体工作流（Agentic Workflow） - GPTBots.ai,https://www.gptbots.ai/zh_CN/blog/agentic-workflows-examples ; https://www.gptbots.ai/zh_CN/blog/agentic-workflows-examples,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
h3c.com,2,h3c.com,agent_discussion_resource,Tier 3,https://www.h3c.com,unknown,AI Agent技术栈���解：从“LLM大脑”到“自主规划与执行” - H3C ; AI Agent技术栈���解：从“LLM大脑”到“自主规划与执行” - H3C,https://www.h3c.com/cn/d_202604/2832720_233453_0.htm ; https://www.h3c.com/cn/d_202604/2832720_233453_0.htm,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
heyuan110.com,2,heyuan110.com,self_evolving_agent,Tier 3,https://www.heyuan110.com,unknown,用Python 从零构建AI 编程Agent（完整实战教程） ; 用Python 从零构建AI 编程Agent（完整实战教程）,https://www.heyuan110.com/zh/posts/ai/2026-03-07-build-ai-agent-python/ ; https://www.heyuan110.com/zh/posts/ai/2026-03-07-build-ai-agent-python/,2026-03,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
ibm.com,2,ibm.com,tutorial_or_implementation,Tier 3,https://www.ibm.com,unknown,什么是AI agent (AI 智能体)？ - IBM ; 什么是AI agent (AI 智能体)？ - IBM,https://www.ibm.com/cn-zh/think/topics/ai-agents ; https://www.ibm.com/cn-zh/think/topics/ai-agents,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
kkit.dev,2,kkit.dev,self_evolving_agent,Tier 3,https://kkit.dev,unknown,Agents That Build Themselves: The Rise of Self-Improving AI — Kyle Kitlinski ; Agents That Build Themselves: The Rise of Self-Improving AI — Kyle Kitlinski,https://kkit.dev/blog/agents-that-build-themselves-self-improving-ai ; https://kkit.dev/blog/agents-that-build-themselves-self-improving-ai,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
llm-multiagent-ft.github.io,2,llm-multiagent-ft.github.io,agent_discussion_resource,Tier 1,https://llm-multiagent-ft.github.io,unknown,Multiagent Finetuning: Self Improvement with Diverse Reasoning Chains ; Multiagent Finetuning: Self Improvement with Diverse Reasoning Chains,https://llm-multiagent-ft.github.io/ ; https://llm-multiagent-ft.github.io/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
luml.ai,2,luml.ai,self_evolving_agent,Tier 3,https://luml.ai,unknown,Make your coding agents self-evolving ; Make your coding agents self-evolving,https://luml.ai/blog/2026/dreamer-self-evolving-agents ; https://luml.ai/blog/2026/dreamer-self-evolving-agents,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
luochuanad.github.io,2,luochuanad.github.io,self_evolving_agent,Tier 1,http://luochuanad.github.io,unknown,Self-Improving的设计思想 - Louis | strictfrog.com ; Self-Improving的设计思想 - Louis | strictfrog.com,http://luochuanad.github.io/2026/03/13/SelfImproving%E7%9A%84%E8%AE%BE%E8%AE%A1%E6%80%9D%E6%83%B3/ ; http://luochuanad.github.io/2026/03/13/SelfImproving%E7%9A%84%E8%AE%BE%E8%AE%A1%E6%80%9D%E6%83%B3/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
marktechpost.com,2,marktechpost.com,self_evolving_agent,Tier 3,https://www.marktechpost.com,unknown,A Coding Guide for Building a Self-Improving AI Agent Using Google's Gemini API with Intelligent Adaptation Features - MarkTechPost ; A Coding Guide for Building a Self-Improving AI Agent Using Google's Gemini API with Intelligent Adaptation Features - MarkTechPost,https://www.marktechpost.com/2025/05/29/a-coding-guide-for-building-a-self-improving-ai-agent-using-googles-gemini-api-with-intelligent-adaptation-features/ ; https://www.marktechpost.com/2025/05/29/a-coding-guide-for-building-a-self-improving-ai-agent-using-googles-gemini-api-with-intelligent-adaptation-features/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
masterdai.blog,2,masterdai.blog,agent_discussion_resource,Tier 3,https://masterdai.blog,unknown,如何使用智能体工作流（Agentic Workflow）优化您的工作效率？ ; 如何使用智能体工作流（Agentic Workflow）优化您的工作效率？,https://masterdai.blog/zh/exploring-agentic-workflows-a-deep-dive-into-ai-enhanced-productivity-zh/ ; https://masterdai.blog/zh/exploring-agentic-workflows-a-deep-dive-into-ai-enhanced-productivity-zh/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
memagent-sialab.github.io,2,memagent-sialab.github.io,agent_framework,Tier 1,https://memagent-sialab.github.io,unknown,MemAgent: Reshaping Long-Context LLM with Multi-Conv RL based Memory Agent ; MemAgent: Reshaping Long-Context LLM with Multi-Conv RL based Memory Agent,https://memagent-sialab.github.io/ ; https://memagent-sialab.github.io/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
microsoft.com,2,microsoft.com,tutorial_or_implementation,Tier 1,https://www.microsoft.com,unknown,Agent Lightning：零侵入强化学习，为任意AI智能体插上优化的翅膀 ; Agent Lightning：零侵入强化学习，为任意AI智能体插上优化的翅膀,https://www.microsoft.com/en-us/research/articles/agent-lightning/ ; https://www.microsoft.com/en-us/research/articles/agent-lightning/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
mindstudio.ai,2,mindstudio.ai,self_evolving_agent,Tier 3,https://www.mindstudio.ai,unknown,How to Build Self-Improving AI Agents with Scheduled Tasks | MindStudio ; How to Build Self-Improving AI Agents with Scheduled Tasks | MindStudio,https://www.mindstudio.ai/blog/how-to-build-self-improving-ai-agents-scheduled-tasks ; https://www.mindstudio.ai/blog/how-to-build-self-improving-ai-agents-scheduled-tasks,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
mittrchina.com,2,mittrchina.com,self_evolving_agent,Tier 3,https://www.mittrchina.com,unknown,华人团队提出智能体自我进化框架，无需人类标注 - 麻省理工科技评论 ; 华人团队提出智能体自我进化框架，无需人类标注 - 麻省理工科技评论,https://www.mittrchina.com/news/detail/15535 ; https://www.mittrchina.com/news/detail/15535,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
modelscope.cn,2,modelscope.cn,self_evolving_agent,Tier 3,https://www.modelscope.cn,unknown,AgentEvolver：让智能体系统学会「自我进化」 - ModelScope ; AgentEvolver：让智能体系统学会「自我进化」 - ModelScope,https://www.modelscope.cn/learn/2804 ; https://www.modelscope.cn/learn/2804,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
news.qq.com,2,news.qq.com,self_evolving_agent,Tier 3,https://news.qq.com,unknown,GPT-5点赞！八大顶尖机构发布「自进化智能体」全面综述 - QQ News ; GPT-5点赞！八大顶尖机构发布「自进化智能体」全面综述 - QQ News,https://news.qq.com/rain/a/20250821A04QJZ00 ; https://news.qq.com/rain/a/20250821A04QJZ00,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
newsletter.swirlai.com,2,newsletter.swirlai.com,tutorial_or_implementation,Tier 3,https://www.newsletter.swirlai.com,unknown,Building AI Agents from scratch - Part 2: Reflection and Working Memory ; Building AI Agents from scratch - Part 2: Reflection and Working Memory,https://www.newsletter.swirlai.com/p/building-ai-agents-from-scratch-part-8ca ; https://www.newsletter.swirlai.com/p/building-ai-agents-from-scratch-part-8ca,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
nicoloboschi.com,2,nicoloboschi.com,agent_discussion_resource,Tier 3,https://nicoloboschi.com,unknown,"Retain, recall, reflect: the three operations of agent memory | Getting stuff done ; Retain, recall, reflect: the three operations of agent memory | Getting stuff done",https://nicoloboschi.com/posts/20251214/ ; https://nicoloboschi.com/posts/20251214/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
oracle.com,2,oracle.com,tutorial_or_implementation,Tier 3,https://www.oracle.com,unknown,什么是AI Agent？ | Oracle 中国 ; 什么是AI Agent？ | Oracle 中国,https://www.oracle.com/cn/artificial-intelligence/ai-agents/ ; https://www.oracle.com/cn/artificial-intelligence/ai-agents/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
oxagen.ai,2,oxagen.ai,self_evolving_agent,Tier 3,https://www.oxagen.ai,unknown,Build a Self-Improving AI Agent in Python: Walkthrough | Oxagen ; Build a Self-Improving AI Agent in Python: Walkthrough | Oxagen,https://www.oxagen.ai/blog/build-self-improving-ai-agent-python ; https://www.oxagen.ai/blog/build-self-improving-ai-agent-python,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
patents.google.com,2,patents.google.com,self_evolving_agent,Tier 1,https://patents.google.com,unknown,一种可自我进化的Agent程序记忆系统、智能体 - Google Patents ; 一种可自我进化的Agent程序记忆系统、智能体 - Google Patents,https://patents.google.com/patent/CN118333086A/zh ; https://patents.google.com/patent/CN118333086A/zh,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
platform.papr.ai,2,platform.papr.ai,self_evolving_agent,Tier 3,https://platform.papr.ai,unknown,Building a Self-Improving AI Agent ; Building a Self-Improving AI Agent,https://platform.papr.ai/tutorials/agent-self-improvement ; https://platform.papr.ai/tutorials/agent-self-improvement,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
podcasts.apple.com,2,podcasts.apple.com,self_evolving_agent,Tier 3,https://podcasts.apple.com,unknown,AgentEvolver：迈向高效自进化智能体系统 - AI Podcast ; AgentEvolver：迈向高效自进化智能体系统 - AI Podcast,https://podcasts.apple.com/us/podcast/agentevolver-%E8%BF%88%E5%90%91%E9%AB%98%E6%95%88%E8%87%AA%E8%BF%9B%E5%8C%96%E6%99%BA%E8%83%BD%E4%BD%93%E7%B3%BB%E7%BB%9F/id1798858172?i=1000739119539&l=ko ; https://podcasts.apple.com/us/podcast/agentevolver-%E8%BF%88%E5%90%91%E9%AB%98%E6%95%88%E8%87%AA%E8%BF%9B%E5%8C%96%E6%99%BA%E8%83%BD%E4%BD%93%E7%B3%BB%E7%BB%9F/id1798858172?i=1000739119539&l=ko,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
promptingguide.ai,2,promptingguide.ai,agent_framework,Tier 3,https://www.promptingguide.ai,unknown,大语言模型智能体简介 - Prompt Engineering Guide ; 大语言模型智能体简介 - Prompt Engineering Guide,https://www.promptingguide.ai/zh/research/llm-agents ; https://www.promptingguide.ai/zh/research/llm-agents,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
puppyagent.com,2,puppyagent.com,self_evolving_agent,Tier 3,https://www.puppyagent.com,unknown,AI自我进化：LLM闭环系统与多智能体前沿技术综述 - PuppyAgent ; AI自我进化：LLM闭环系统与多智能体前沿技术综述 - PuppyAgent,https://www.puppyagent.com/zh/blog/ai-self-evolution ; https://www.puppyagent.com/zh/blog/ai-self-evolution,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
qnmlgb.tech,2,qnmlgb.tech,self_evolving_agent,Tier 3,https://qnmlgb.tech,unknown,你是不是觉得，别人的OpenClaw进化快，而自己的OpenClaw进化慢？很可能是因为，你缺少了一个自我进化的skill：self-improving-agent。 1. 如何安装？通过跟OpenClaw聊天，让他帮忙自我进化skill，注意，要讲清楚名字。 clawhub慢的用户，可以让OpenClaw试试skillhub源。 2. 什么原理？装好后，让OpenClaw读SKILL.md，为我们简单介绍下这个skill： self-improving-agent会在workspace下建立一个.learnings文件夹，以及三个md文件： - LEARNINGS.md：记录我们对她进行的纠正 - ERRORS.md：记录执行过程中的失败与异常 - FEARTURE_REQUESTS.md：记录我们需要她扩展的新能力然后，在我们与OpenClaw沟通的过程中，她会地捕捉命令失败、我们对OpenClaw的纠正、或者是外部调用API失败、发现更好的方法等各种情况，并将经验学习到这些文件里。 3. self-improving-agent有什么特点？ - 纯prompt架构，无需任何外部的依赖 - 无需要任何的API Key 4. 如何让self-improving-agent持续进化？第一种，将它的晋升机制写入到Agents.md里： - 学到的行为模式，写入SOUL.md - 工作流改进，写入AGENTS.md - 工具技巧，写入TOOLS.md 第二种，设置一个hook，让它自动响应，执行自动的升级计划：openclaw hooks install self-improving-agent 装好hook之后，每次agent被唤醒时，会检查.learnings里的记录，并将重要的内容升级到人格系统（前文介绍过），或者记忆系统（前文介绍过）。 5. LEARNINGS.md到底记录了什么东西呢？ - 用户纠正的内容 - 知识盲区 - 最佳实践 - 简化与强化举个“用户纠正”的例子：静默安装skill，被沈老师提醒与纠正，今后要告之沈老师，确认后再安装。举个“最佳实践”的例子：飞书groupPolicy有安全漏洞，今后新增机器人，默认使用groupALLowFrom而不是open。这些，都是self-improving-agent自动记录的，我和OpenClaw沟通过程中，强调的点。 6. 还有什么最佳实践？可以设置一个定时任务，让OpenClaw每天告诉我们，每天进化了一些什么，以及有哪些内容写到了人格系统里。这样，我们就能知道，自己的龙虾，每天是怎么一点点进步的拉。 OK，简单总结，想要龙虾进化快： - 安装技能self-improving-agent - 设置hook让她自动进化 - 设置定时任务，知晓进化内容希望大家有收获！周末：AI时代，赚钱的5条路，欢迎来玩！ - 架构师之路 - 瓦斯阅读 ; 你是不是觉得，别人的OpenClaw进化快，而自己的OpenClaw进化慢？很可能是因为，你缺少了一个自我进化的skill：self-improving-agent。 1. 如何安装？通过跟OpenClaw聊天，让他帮忙自我进化skill，注意，要讲清楚名字。 clawhub慢的用户，可以让OpenClaw试试skillhub源。 2. 什么原理？装好后，让OpenClaw读SKILL.md，为我们简单介绍下这个skill： self-improving-agent会在workspace下建立一个.learnings文件夹，以及三个md文件： - LEARNINGS.md：记录我们对她进行的纠正 - ERRORS.md：记录执行过程中的失败与异常 - FEARTURE_REQUESTS.md：记录我们需要她扩展的新能力然后，在我们与OpenClaw沟通的过程中，她会地捕捉命令失败、我们对OpenClaw的纠正、或者是外部调用API失败、发现更好的方法等各种情况，并将经验学习到这些文件里。 3. self-improving-agent有什么特点？ - 纯prompt架构，无需任何外部的依赖 - 无需要任何的API Key 4. 如何让self-improving-agent持续进化？第一种，将它的晋升机制写入到Agents.md里： - 学到的行为模式，写入SOUL.md - 工作流改进，写入AGENTS.md - 工具技巧，写入TOOLS.md 第二种，设置一个hook，让它自动响应，执行自动的升级计划：openclaw hooks install self-improving-agent 装好hook之后，每次agent被唤醒时，会检查.learnings里的记录，并将重要的内容升级到人格系统（前文介绍过），或者记忆系统（前文介绍过）。 5. LEARNINGS.md到底记录了什么东西呢？ - 用户纠正的内容 - 知识盲区 - 最佳实践 - 简化与强化举个“用户纠正”的例子：静默安装skill，被沈老师提醒与纠正，今后要告之沈老师，确认后再安装。举个“最佳实践”的例子：飞书groupPolicy有安全漏洞，今后新增机器人，默认使用groupALLowFrom而不是open。这些，都是self-improving-agent自动记录的，我和OpenClaw沟通过程中，强调的点。 6. 还有什么最佳实践？可以设置一个定时任务，让OpenClaw每天告诉我们，每天进化了一些什么，以及有哪些内容写到了人格系统里。这样，我们就能知道，自己的龙虾，每天是怎么一点点进步的拉。 OK，简单总结，想要龙虾进化快： - 安装技能self-improving-agent - 设置hook让她自动进化 - 设置定时任务，知晓进化内容希望大家有收获！周末：AI时代，赚钱的5条路，欢迎来玩！ - 架构师之路 - 瓦斯阅读,https://qnmlgb.tech/articles/69c5cd32003b07f9af47125c ; https://qnmlgb.tech/articles/69c5cd32003b07f9af47125c,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
redis.io,2,redis.io,tutorial_or_implementation,Tier 3,https://redis.io,unknown,AI Agents vs Workflows: When to Use Each ; AI Agents vs Workflows: When to Use Each,https://redis.io/blog/agents-vs-workflows/ ; https://redis.io/blog/agents-vs-workflows/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
runoob.com,2,runoob.com,self_evolving_agent,Tier 3,https://www.runoob.com,unknown,Python 智能体环境配置 - 菜鸟教程 ; Python 智能体环境配置 - 菜鸟教程,https://www.runoob.com/ai-agent/ai-agent-python-setup.html ; https://www.runoob.com/ai-agent/ai-agent-python-setup.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
sceneweaver.co.uk,2,sceneweaver.co.uk,self_evolving_agent,Tier 3,https://www.sceneweaver.co.uk,unknown,Self-Improving Multi-Agent Memory Systems for LLMs ; Self-Improving Multi-Agent Memory Systems for LLMs,https://www.sceneweaver.co.uk/multi-agent-workflow.html ; https://www.sceneweaver.co.uk/multi-agent-workflow.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
shopclawmart.com,2,shopclawmart.com,tutorial_or_implementation,Tier 3,https://www.shopclawmart.com,unknown,Optimizing LLM Costs When Running Multiple OpenClaw Agents ; Optimizing LLM Costs When Running Multiple OpenClaw Agents,https://www.shopclawmart.com/blog/optimize-llm-costs-multiple-agents-openclaw ; https://www.shopclawmart.com/blog/optimize-llm-costs-multiple-agents-openclaw,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
silenceboy.com,2,silenceboy.com,self_evolving_agent,Tier 3,https://www.silenceboy.com,unknown,深度解析自我改进智能体（Self-Improving Agents）与 Reflexion 架构 | morty的个人博客 ; 深度解析自我改进智能体（Self-Improving Agents）与 Reflexion 架构 | morty的个人博客,https://www.silenceboy.com/2025/12/11/%E6%B7%B1%E5%BA%A6%E8%A7%A3%E6%9E%90%E8%87%AA%E6%88%91%E6%94%B9%E8%BF%9B%E6%99%BA%E8%83%BD%E4%BD%93%EF%BC%88Self-Improving-Agents%EF%BC%89%E4%B8%8E-Reflexion-%E6%9E%B6%E6%9E%84/index.html ; https://www.silenceboy.com/2025/12/11/%E6%B7%B1%E5%BA%A6%E8%A7%A3%E6%9E%90%E8%87%AA%E6%88%91%E6%94%B9%E8%BF%9B%E6%99%BA%E8%83%BD%E4%BD%93%EF%BC%88Self-Improving-Agents%EF%BC%89%E4%B8%8E-Reflexion-%E6%9E%B6%E6%9E%84/index.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
sparkco.ai,2,sparkco.ai,agent_framework,Tier 3,https://sparkco.ai,unknown,Deep Dive into Reflexion Self-Reflection Agents ; Deep Dive into Reflexion Self-Reflection Agents,https://sparkco.ai/blog/deep-dive-into-reflexion-self-reflection-agents ; https://sparkco.ai/blog/deep-dive-into-reflexion-self-reflection-agents,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
STRING — YouTube / Product Hunt / Dev.to / Medium / Anthropic Blog / etc.,2,STRING — YouTube / Product Hunt / Dev.to / Medium / Anthropic Blog / etc.,STRING — agent_self_evolution / agent_framework / benchmark / harness_engineering / etc.,Tier 1,STRING — canonical URL,unknown,STRING — article/blog/product title ; STRING — article/blog/product title,STRING — canonical URL ; STRING — canonical URL,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
superlinear.academy,2,superlinear.academy,self_evolving_agent,Tier 3,https://www.superlinear.academy,unknown,怎么让AI agent 自己进化？ ; 怎么让AI agent 自己进化？,https://www.superlinear.academy/c/share-your-insights/ai-agent-c22326 ; https://www.superlinear.academy/c/share-your-insights/ai-agent-c22326,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
swiftscholar.net,2,swiftscholar.net,self_evolving_agent,Tier 3,https://www.swiftscholar.net,unknown,Multi-Agent Collaboration via Evolving Orchestration｜论文详情 · 文枢学术 - 高效学者的AI文献阅读工作流。 ; Multi-Agent Collaboration via Evolving Orchestration｜论文详情 · 文枢学术 - 高效学者的AI文献阅读工作流。,https://www.swiftscholar.net/zh/paper/69665c735fc463fff144a84f ; https://www.swiftscholar.net/zh/paper/69665c735fc463fff144a84f,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
sys-ele.com,2,sys-ele.com,self_evolving_agent,Tier 3,https://www.sys-ele.com,unknown,复杂任务下的多智能体协同进化算法 ; 复杂任务下的多智能体协同进化算法,https://www.sys-ele.com/CN/abstract/abstract7970.shtml ; https://www.sys-ele.com/CN/abstract/abstract7970.shtml,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
tangshuang.net,2,tangshuang.net,agent_discussion_resource,Tier 3,https://www.tangshuang.net,unknown,AI智能体工作流，突破LLM代际差异，GPT-3.5干出4.0的效果 ; AI智能体工作流，突破LLM代际差异，GPT-3.5干出4.0的效果,https://www.tangshuang.net/8905.html ; https://www.tangshuang.net/8905.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
themoonlight.io,2,themoonlight.io,self_evolving_agent,Tier 3,https://www.themoonlight.io,unknown,[论文评述] Long Term Memory: The Foundation of AI Self-Evolution ; [论文评述] Long Term Memory: The Foundation of AI Self-Evolution,https://www.themoonlight.io/zh/review/long-term-memory-the-foundation-of-ai-self-evolution ; https://www.themoonlight.io/zh/review/long-term-memory-the-foundation-of-ai-self-evolution,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
tinyash.com,2,tinyash.com,agent_framework,Tier 3,https://www.tinyash.com,unknown,从零开始构建 Agentic AI 工作流：多步骤任务自动化的完整实战指南 - 小灰灰的笔记 ; 从零开始构建 Agentic AI 工作流：多步骤任务自动化的完整实战指南 - 小灰灰的笔记,https://www.tinyash.com/blog/agentic-ai-workflow-tutorial/ ; https://www.tinyash.com/blog/agentic-ai-workflow-tutorial/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
ui.adsabs.harvard.edu,2,ui.adsabs.harvard.edu,self_evolving_agent,Tier 3,https://ui.adsabs.harvard.edu,unknown,AgentEvolver: Towards Efficient Self-Evolving Agent System - ADS ; AgentEvolver: Towards Efficient Self-Evolving Agent System - ADS,https://ui.adsabs.harvard.edu/abs/2025arXiv251110395Z/abstract ; https://ui.adsabs.harvard.edu/abs/2025arXiv251110395Z/abstract,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
view.inews.qq.com,2,view.inews.qq.com,self_evolving_agent,Tier 3,https://view.inews.qq.com,unknown,阿里团队揭露下一代AI路线：AgentEvolver如何实现智能体的自我进化 ; 阿里团队揭露下一代AI路线：AgentEvolver如何实现智能体的自我进化,https://view.inews.qq.com/a/20251118A047UU00 ; https://view.inews.qq.com/a/20251118A047UU00,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
